AttendanceID,StudentID,ClassID,Date,Status,Remarks
104,154,3,2024-09-18,Late,Saepe dignissimos doloremque id molestiae excepturi molestias.
105,359,1,2024-09-29,Present,Explicabo libero accusamus odio ratione sit consectetur adipisci placeat excepturi voluptatum in.
106,42,1,2024-09-15,Absent,Atque quod inventore unde quae placeat quo distinctio quo accusamus.
107,156,1,2024-09-25,Absent,Eveniet ipsum delectus eveniet nostrum assumenda aperiam quasi est dolor corrupti earum.
108,230,1,2024-09-07,Late,Commodi error dolore blanditiis aliquam aspernatur voluptas aliquam tempore.
109,213,2,2024-09-23,Present,Illum repellat molestiae fugit adipisci nisi sequi nemo odio minima tempore a optio.
110,239,2,2024-09-08,Late,Necessitatibus dolore cum deleniti unde corporis eos architecto esse nobis maiores sapiente.
111,119,1,2024-09-30,Absent,Culpa dolorum minus aspernatur quo qui hic autem exercitationem magnam provident quos.
112,320,2,2024-10-02,Absent,Quam harum deleniti suscipit quaerat sint libero dolor eligendi quam.
113,100,3,2024-09-12,Absent,Modi id praesentium quos eum illo iure quas quaerat ex dicta.
114,88,3,2024-09-17,Absent,Excepturi qui fugiat accusamus at quidem numquam.
115,367,3,2024-10-02,Present,Quia natus molestiae tempora molestiae ipsam iure eos nesciunt autem dolor deserunt.
116,394,2,2024-10-01,Late,Rem eius temporibus quo beatae laborum sit ratione delectus aut eos veritatis.
117,40,1,2024-09-29,Late,Doloribus dolor suscipit iusto optio autem velit libero itaque quam nostrum aspernatur velit.
118,86,1,2024-09-17,Present,Veritatis nesciunt cupiditate excepturi quia dolor adipisci.
119,73,2,2024-09-09,Absent,Magnam fugiat voluptate minima soluta hic voluptatum tempora repudiandae repellendus ab.
120,170,2,2024-09-18,Absent,Ipsam natus minus odio nulla natus corporis ducimus ipsam eveniet expedita.
121,103,1,2024-10-02,Absent,Atque a similique ipsam libero magnam laborum corporis nostrum consequuntur voluptas.
122,326,3,2024-09-03,Late,Earum officia placeat eligendi velit aliquid ipsum blanditiis voluptas.
123,96,3,2024-09-26,Late,Tempora sint nemo in eaque et nihil.
124,55,3,2024-09-23,Late,Sint quos nisi quo quae officiis excepturi ullam ullam.
125,69,2,2024-09-12,Late,Magni iste facilis eius impedit sed doloribus molestias tempora.
126,3,2,2024-09-16,Absent,Amet nemo harum unde eos dolorum ipsam ipsam corrupti beatae error libero.
127,95,2,2024-09-20,Present,Similique architecto explicabo exercitationem consequuntur quas itaque explicabo.
128,13,2,2024-09-18,Absent,Sint dolorum vitae voluptatem a corrupti necessitatibus nesciunt.
129,259,1,2024-10-01,Absent,Deleniti vero corporis debitis illum esse dicta voluptatem.
130,91,1,2024-09-07,Absent,In eaque earum sint alias deserunt cumque maiores vero dolore error.
131,87,2,2024-09-27,Late,Suscipit non fugit unde neque numquam minima enim impedit minus adipisci enim.
132,61,1,2024-09-29,Late,Quidem nobis deleniti sequi quidem delectus laboriosam itaque numquam.
133,280,1,2024-09-27,Present,Assumenda possimus aperiam esse nesciunt dolorum.
134,96,1,2024-09-16,Present,Pariatur ipsa blanditiis maxime molestiae quibusdam nobis.
135,133,1,2024-09-04,Late,Occaecati repellat repellat cum sed quidem facilis officia officia id.
136,99,3,2024-09-13,Absent,Placeat voluptates possimus repudiandae molestias quam quasi similique nostrum deleniti iure doloremque.
137,382,2,2024-09-16,Absent,Eos nemo sapiente ullam ex odio sequi repellat.
138,318,3,2024-09-28,Absent,Aliquid rerum provident dolorum non nulla et eum delectus animi.
139,195,3,2024-09-21,Late,Necessitatibus magni laboriosam non dolore est libero a.
140,268,1,2024-09-16,Absent,Provident iusto ipsa sapiente optio nulla est ipsum.
141,381,1,2024-09-30,Present,Tempora modi cupiditate aliquam ducimus libero aliquid perferendis nemo nisi officia accusantium a nulla.
142,195,3,2024-09-30,Present,Possimus blanditiis esse fuga aliquam iure ipsum delectus voluptatum.
143,175,2,2024-09-04,Absent,Iusto rem maiores asperiores deleniti dolore nostrum laboriosam quia.
144,186,1,2024-09-20,Absent,Illo illo distinctio reiciendis voluptatum quis voluptatem.
145,115,3,2024-09-26,Present,Pariatur distinctio rem quod voluptatibus dolores.
146,212,3,2024-09-26,Late,Iusto reprehenderit non eum pariatur repellat provident consectetur dolorum voluptates provident modi sint maiores.
147,324,2,2024-09-19,Present,Ea nihil molestias voluptatem labore omnis quas occaecati.
148,288,2,2024-09-17,Present,Distinctio animi quisquam maxime at magni harum cupiditate magni soluta ipsum nesciunt ex.
149,374,2,2024-09-17,Absent,Officiis veniam veritatis ea autem quam placeat voluptatibus ipsum molestias repudiandae.
150,118,2,2024-09-13,Absent,Nemo natus distinctio molestiae possimus cum accusantium.
151,175,3,2024-09-24,Absent,Porro perferendis sequi odio minus facere illum voluptates quod repellat autem error.
152,256,2,2024-09-26,Absent,Mollitia eaque blanditiis rerum dolorum minima praesentium laudantium laborum hic unde laborum modi illum.
153,65,1,2024-09-10,Late,Et rem incidunt praesentium laudantium repellendus quisquam rem dolorum placeat dolor.
154,182,3,2024-09-06,Present,Ab esse pariatur animi nobis id enim sed perferendis repudiandae provident vel et.
155,127,3,2024-09-27,Absent,Unde expedita earum sed mollitia incidunt ipsam dolores.
156,149,2,2024-09-21,Absent,Quo quod debitis sed quia veniam facere maiores voluptas harum vitae recusandae.
157,112,1,2024-09-12,Late,Sunt voluptatem quae quaerat voluptatum eaque impedit temporibus alias aliquid repellendus.
158,88,3,2024-09-30,Present,Possimus deserunt unde consequatur saepe voluptatum quod nesciunt ea maxime.
159,268,1,2024-09-20,Present,Alias vitae laborum aliquam quasi odio nam inventore.
160,249,2,2024-09-15,Present,Asperiores commodi delectus dicta nobis non voluptates modi rem ad fuga ea.
161,28,2,2024-09-04,Late,Quam corporis quasi voluptatibus error dolorum quaerat eius quisquam.
162,297,1,2024-09-23,Late,Rem quis veritatis libero est asperiores illum necessitatibus fuga.
163,362,2,2024-09-24,Late,Deleniti nemo esse doloremque aperiam maiores eum omnis.
164,220,2,2024-09-30,Late,Deleniti laborum praesentium molestiae aliquid dolores facere amet voluptas perferendis minima quas.
165,247,2,2024-09-23,Absent,Rem temporibus facilis dignissimos consequatur iure quia rerum amet facilis repudiandae molestias culpa.
166,134,1,2024-09-13,Present,Fuga laborum pariatur eum aperiam quia laborum laboriosam.
167,374,3,2024-09-14,Late,Nam nam excepturi veniam quos maiores totam cum aliquid corporis assumenda quod.
168,56,2,2024-09-23,Late,Ipsam facilis voluptate soluta eveniet officia veniam neque delectus corrupti ad quod.
169,23,1,2024-09-03,Absent,Culpa vero possimus ratione officia delectus reprehenderit nulla vero possimus suscipit vitae.
170,337,1,2024-09-04,Present,Autem in ea quia quo consequuntur ab.
171,243,1,2024-09-26,Present,Atque error velit rerum accusamus aliquid.
172,336,3,2024-09-04,Absent,Dolore laboriosam sint est soluta illo distinctio incidunt repudiandae quos unde.
173,376,1,2024-09-16,Present,Maiores nihil nobis labore voluptas necessitatibus officiis blanditiis aperiam maiores eius consectetur sed.
174,244,2,2024-09-06,Late,Esse assumenda modi qui animi quod laborum.
175,102,2,2024-09-27,Late,Itaque debitis aliquid nihil qui tempore dolorem architecto ut dolore.
176,19,1,2024-09-27,Late,A excepturi eos vitae distinctio tempore distinctio ratione occaecati reprehenderit quisquam eaque.
177,8,2,2024-09-08,Late,Sunt neque asperiores sed sapiente nam.
178,7,2,2024-09-06,Present,Placeat aliquam ab repudiandae autem aliquid autem.
179,224,1,2024-09-29,Absent,Repudiandae necessitatibus repellat cum placeat libero doloremque sunt debitis sit assumenda et.
180,298,2,2024-10-02,Present,Aut reiciendis esse nostrum ipsa maxime et.
181,151,2,2024-09-15,Present,Maiores consequuntur mollitia eligendi labore veniam ullam deleniti excepturi dolorem quia eius.
182,85,1,2024-09-20,Present,Debitis illum pariatur adipisci sequi illo quia ipsum dolorum ex.
183,82,2,2024-10-02,Late,Beatae doloremque quia sed cum dolorem possimus.
184,309,2,2024-09-07,Absent,Provident consequuntur mollitia possimus amet deleniti suscipit.
185,49,1,2024-09-26,Late,Error magnam error vero eos perferendis.
186,57,3,2024-09-08,Late,Delectus tempora voluptates architecto dicta tempore animi reprehenderit molestiae placeat labore commodi consequatur.
187,178,3,2024-09-16,Late,Rerum rem consectetur voluptatem distinctio corporis voluptate.
188,136,2,2024-09-29,Present,Soluta distinctio incidunt hic fugiat consequatur.
189,162,2,2024-09-15,Absent,Iusto maiores omnis omnis assumenda explicabo a.
190,336,1,2024-09-15,Present,Sit ipsam illo ea dolore doloremque nobis molestiae velit molestiae occaecati tempore aliquid.
191,129,2,2024-09-04,Late,Et saepe enim mollitia cumque ullam quasi dolore ut accusantium ad aliquam soluta.
192,92,2,2024-09-03,Absent,Perferendis perferendis quas aliquam ipsam eum animi cumque mollitia earum a aperiam veritatis.
193,140,2,2024-09-22,Late,Recusandae inventore esse molestiae incidunt reiciendis molestias nihil.
194,267,2,2024-09-27,Absent,Vitae voluptas incidunt distinctio corporis eligendi molestias voluptate ab fugit quas a.
195,159,3,2024-09-28,Late,Deserunt perspiciatis nisi temporibus facere voluptas aperiam ad officiis.
196,293,1,2024-10-02,Late,Quam odit nulla ipsa modi nihil commodi eum facilis.
197,58,3,2024-09-03,Absent,Tenetur sequi unde quae repudiandae rerum occaecati expedita animi.
198,45,2,2024-09-20,Present,Doloribus dolore nemo quis sint exercitationem earum minima vitae saepe omnis totam.
199,191,1,2024-10-02,Late,Eveniet eligendi omnis sunt necessitatibus dicta amet nesciunt.
200,246,1,2024-09-23,Late,Iusto possimus quis dolorum tenetur sequi dicta ratione.
201,162,2,2024-09-07,Late,Reiciendis repudiandae cumque modi sapiente commodi tenetur reiciendis placeat pariatur totam.
202,97,2,2024-10-02,Absent,Dolorum voluptas ipsa quas perspiciatis reprehenderit.
203,242,2,2024-09-17,Absent,Sint hic magni accusamus magni rem doloribus corporis occaecati repellat dicta quis.
204,340,3,2024-09-19,Absent,Laboriosam qui ipsa vero eos ratione reiciendis voluptatem molestiae quia.
205,215,1,2024-09-20,Late,Suscipit esse distinctio placeat ducimus repellendus sit iste excepturi enim iure.
206,247,3,2024-09-13,Present,Numquam praesentium aliquam dolores eveniet quidem mollitia.
207,366,1,2024-09-26,Absent,Sit repellendus possimus magnam maxime dolorum dolores modi mollitia dignissimos nam ducimus.
208,115,2,2024-09-05,Absent,Odio autem praesentium animi corrupti repellat maiores delectus quidem harum.
209,288,3,2024-09-03,Late,Quam modi tenetur incidunt perspiciatis eveniet fuga accusamus quae voluptatem illum eum laboriosam.
210,88,3,2024-09-04,Absent,Repellat culpa non velit sed ducimus magnam similique modi explicabo dolores excepturi ipsam.
211,333,2,2024-09-18,Absent,Numquam in ipsam voluptatem voluptatum magnam neque architecto cum ullam.
212,220,3,2024-09-06,Present,Ratione nam maxime ab consequuntur non omnis provident hic quaerat ipsam.
213,261,1,2024-09-22,Present,Odio magnam debitis perspiciatis corporis hic quia quisquam.
214,258,2,2024-09-14,Late,Dolore iste assumenda esse amet praesentium excepturi mollitia eius commodi eveniet voluptatum ut.
215,329,3,2024-09-22,Late,Fugit voluptate laboriosam quas fugit labore nulla tempora velit laboriosam velit.
216,107,3,2024-09-24,Late,Itaque doloremque aperiam assumenda eos expedita facilis doloribus deleniti provident neque ipsa perspiciatis.
217,147,3,2024-09-20,Late,Adipisci nam tenetur ab ipsa doloremque perferendis cupiditate vel iste molestias culpa.
218,361,2,2024-09-23,Late,Fugit molestias molestiae alias cum dolorem.
219,24,1,2024-09-04,Present,Aut rem cum ex consequuntur impedit temporibus.
220,55,2,2024-10-01,Absent,Impedit eos excepturi eius libero deserunt quod molestiae eligendi id consequuntur unde aliquam.
221,306,1,2024-10-02,Absent,Deserunt sed dolorum aut facere beatae quis a nemo facilis laudantium velit.
222,346,3,2024-09-28,Absent,Eum cupiditate veritatis laboriosam consequuntur totam ipsam optio voluptates neque ipsum veniam.
223,178,2,2024-09-12,Late,Laborum voluptas sint inventore mollitia aliquam at.
224,81,3,2024-09-15,Late,Id sed molestiae harum aliquid accusantium maiores nemo.
225,315,2,2024-09-25,Absent,Doloremque necessitatibus porro tempora eum illo corporis.
226,219,3,2024-09-26,Absent,Numquam perferendis eaque sed quae nihil ut debitis fugit maxime qui quasi ratione.
227,113,2,2024-09-14,Absent,In consequuntur nam nulla voluptatum debitis.
228,221,3,2024-09-10,Absent,Quaerat ipsam facere qui rerum similique nostrum atque mollitia in.
229,141,3,2024-09-08,Present,Accusantium repudiandae maxime quasi voluptatum ipsam fugit voluptates quisquam sunt.
230,212,1,2024-09-07,Present,Vitae debitis nihil excepturi animi commodi quis odio.
231,342,3,2024-09-27,Late,Sapiente voluptatibus ab accusantium neque aliquam magnam sapiente repellat veniam omnis dolores voluptatem.
232,188,1,2024-09-13,Late,Vel assumenda iure eligendi voluptates esse.
233,261,2,2024-09-20,Present,Facere quibusdam quam placeat culpa fuga sint sunt ea ad atque.
234,327,1,2024-09-15,Absent,Ea dolorum error non dignissimos est corporis omnis aperiam laborum architecto.
235,47,1,2024-09-05,Absent,Nesciunt quam atque illo quas quae accusantium eveniet amet debitis laborum minus blanditiis.
236,21,3,2024-09-14,Present,Praesentium iste fuga numquam quod neque sunt earum ipsam.
237,260,2,2024-09-25,Absent,Cum nemo doloremque quibusdam distinctio quae voluptatum.
238,352,2,2024-09-16,Present,Dolor facere eos ex cum tempore sit error neque fugit rem eveniet nisi.
239,78,2,2024-09-29,Present,Fuga aperiam blanditiis blanditiis iste beatae laborum reprehenderit totam eum quisquam.
240,342,3,2024-10-01,Present,Fugiat hic odit similique laboriosam maiores voluptatum error autem labore.
241,33,2,2024-09-21,Present,Repellat perferendis consequatur distinctio occaecati repellendus possimus mollitia.
242,181,1,2024-09-08,Present,Iste ipsum laudantium voluptate exercitationem accusamus repellat asperiores temporibus ducimus.
243,220,2,2024-09-05,Late,Libero vel dolor numquam dolorum ullam nemo distinctio possimus consectetur dolores temporibus.
244,251,2,2024-09-16,Absent,Molestiae tempora saepe placeat fugiat velit voluptatem similique ut in provident et.
245,49,1,2024-09-11,Absent,Fuga quam placeat voluptatem odit quos dolorem temporibus odio.
246,37,3,2024-09-09,Absent,Quaerat excepturi illum autem cumque facilis dignissimos quaerat provident itaque.
247,23,1,2024-09-16,Present,Enim quas minus ad ipsa consectetur quod cum.
248,132,2,2024-09-16,Present,Perferendis quisquam earum vel occaecati adipisci veniam veritatis dolorem iusto.
249,270,1,2024-09-23,Absent,Voluptate incidunt pariatur quidem nihil et.
250,287,3,2024-09-05,Absent,A harum itaque alias accusantium quia laudantium deserunt quibusdam amet.
251,92,3,2024-09-27,Late,Laudantium similique ut repudiandae consequatur quos debitis iste provident.
252,333,3,2024-09-30,Present,Ullam et autem beatae eius dolorem asperiores numquam asperiores nemo dolore.
253,291,2,2024-09-30,Late,Velit eos sit sapiente impedit atque reprehenderit provident doloribus nam.
254,374,1,2024-09-16,Present,Dolores omnis laboriosam autem assumenda fuga consectetur ea.
255,379,1,2024-09-17,Late,Officia quae sunt voluptate quidem quasi labore recusandae.
256,190,1,2024-09-22,Late,Corporis rem necessitatibus exercitationem animi hic.
257,380,3,2024-09-10,Absent,Ipsa quia est voluptatum consequuntur eum fugiat voluptatibus consequuntur amet fugiat.
258,238,1,2024-09-29,Late,Sit cupiditate soluta accusamus mollitia animi assumenda consequuntur at explicabo deleniti reiciendis distinctio.
259,347,1,2024-09-24,Present,Commodi aut quo soluta aperiam dolorem eos facere.
260,59,3,2024-09-24,Present,Voluptates beatae accusantium veritatis rerum eum magnam esse nemo atque commodi iusto vel.
261,131,2,2024-09-11,Absent,Vel rem voluptas sequi omnis porro exercitationem.
262,269,2,2024-09-06,Absent,Sed repellendus labore beatae error quae voluptatum nulla tempora repudiandae iure expedita.
263,154,1,2024-09-30,Late,Unde dolorem minus labore voluptas non.
264,22,3,2024-09-16,Present,Omnis voluptate unde minima deleniti beatae atque.
265,338,1,2024-09-22,Present,Eveniet vel reprehenderit quas omnis beatae corrupti in tempore quisquam.
266,344,2,2024-09-23,Present,Porro ullam id incidunt molestiae vel possimus minima ex autem.
267,9,1,2024-09-23,Absent,Corrupti quis sapiente ut delectus nostrum soluta quos ex sapiente totam.
268,235,1,2024-09-14,Present,Fugiat explicabo nisi nisi assumenda odio odit.
269,12,3,2024-09-03,Late,Aut temporibus aperiam rem cumque esse veritatis debitis cupiditate quidem sapiente laboriosam.
270,253,2,2024-09-06,Late,Eligendi qui sunt cum temporibus sequi voluptatibus soluta dolorum deserunt quae.
271,357,2,2024-09-20,Late,Rem facere dolorem mollitia fuga iste soluta.
272,380,2,2024-09-10,Absent,Consectetur cumque deleniti aperiam deserunt doloremque ducimus odit porro autem delectus voluptatem libero.
273,326,3,2024-10-01,Present,Totam distinctio porro quam quibusdam cupiditate occaecati sunt adipisci.
274,144,3,2024-09-19,Late,Labore laborum ex optio quasi perspiciatis voluptatem eveniet.
275,282,2,2024-09-29,Absent,Hic incidunt illum eum nisi voluptatum neque sequi voluptate suscipit soluta animi.
276,88,3,2024-09-07,Present,Eaque in accusantium autem consequuntur quia distinctio ab quia occaecati eum omnis.
277,99,2,2024-09-18,Late,Ea ullam modi vitae quia quas voluptas.
278,303,3,2024-09-14,Late,Expedita architecto quis debitis tenetur dicta.
279,141,3,2024-09-09,Present,Occaecati quod est asperiores doloribus at praesentium sunt accusamus.
280,140,2,2024-09-06,Present,Ad repellat impedit pariatur recusandae minus ex asperiores debitis voluptate.
281,208,2,2024-09-16,Absent,Temporibus quam dolorum voluptatibus optio ut facilis suscipit voluptatem nisi deserunt at.
282,144,2,2024-09-06,Present,Iusto doloribus in possimus tenetur ipsam ea.
