RecordID,Year,Term,Position,TotalScore,StudentID,ClassID
90,2024,Second,19,82.82,232,1
91,2021,First,9,21.4,346,3
92,2024,Third,13,34.74,246,3
93,2024,Second,26,58.71,262,3
94,2021,Second,5,23.4,262,2
95,2022,First,6,76.8,336,2
96,2021,Third,29,39.35,325,2
97,2020,Second,22,59.3,166,2
98,2020,First,18,53.36,323,2
99,2021,Second,27,16.94,117,2
100,2020,First,17,98.38,268,3
101,2023,Second,15,74.29,81,3
102,2020,Second,27,40.94,28,3
103,2020,Second,26,25.53,167,1
104,2024,First,20,76.73,335,2
105,2021,Third,1,6.4,317,2
106,2023,First,15,79.28,91,1
107,2020,First,3,1.65,93,2
108,2024,First,19,46.67,284,1
109,2024,Third,23,45.05,305,3
110,2022,Third,1,7.29,95,3
111,2023,Third,27,2.23,24,3
112,2021,Third,22,60.23,364,1
113,2022,Second,13,9.4,362,2
114,2024,First,1,60.77,196,3
115,2024,Second,16,18.56,44,3
116,2020,Second,5,31.53,388,3
117,2023,Second,15,9.79,209,2
118,2020,First,28,41.22,108,1
119,2020,Second,28,42.0,301,2
120,2020,Third,25,62.08,288,2
121,2024,First,12,30.42,234,2
122,2023,First,19,90.49,103,3
123,2022,Third,24,89.13,154,2
124,2022,Second,23,16.77,303,1
125,2022,Third,6,23.78,4,2
126,2023,Second,9,56.76,362,2
127,2024,Second,23,27.23,169,3
128,2022,Third,10,82.44,65,3
129,2020,Second,19,2.19,381,1
130,2021,First,26,87.08,295,3
131,2024,Third,25,9.16,263,3
132,2024,Third,8,30.83,259,3
133,2022,Third,4,22.65,184,3
134,2023,Second,2,17.8,285,2
135,2022,Second,20,3.64,268,2
136,2021,Third,16,68.4,265,3
137,2022,Third,5,86.38,39,2
138,2024,Second,5,34.6,220,2
139,2021,First,14,88.9,296,3
140,2021,Second,28,72.78,369,3
141,2020,Second,2,85.64,161,2
142,2021,Second,17,62.94,106,2
143,2020,Third,4,17.76,155,1
144,2020,First,16,20.84,275,1
145,2020,Second,16,14.49,154,2
146,2023,Third,27,22.05,258,2
147,2024,Second,9,34.36,238,3
148,2020,Second,28,64.07,10,3
149,2023,Third,28,2.57,357,2
150,2021,Second,13,30.46,120,1
151,2021,Second,29,19.5,155,3
152,2021,Second,29,48.23,136,2
153,2024,Third,6,41.57,334,3
154,2020,Third,18,26.52,282,2
155,2024,Second,23,8.81,326,2
156,2020,Third,20,66.7,74,1
157,2022,Third,24,16.8,6,1
158,2021,First,20,95.08,310,3
159,2024,Second,30,42.02,384,2
160,2021,First,11,45.12,193,3
161,2020,Third,24,33.77,6,1
162,2020,Second,4,60.1,207,3
163,2020,Third,22,65.51,91,2
164,2020,Second,17,70.85,298,2
165,2024,Third,27,66.32,69,2
166,2023,First,7,31.77,382,2
167,2020,Third,28,46.53,172,3
168,2021,Second,2,36.06,54,2
169,2024,Second,23,15.13,85,3
170,2024,Third,26,20.27,178,1
171,2020,First,1,83.76,78,1
172,2022,Second,7,73.45,262,2
173,2023,First,11,74.23,307,1
174,2020,First,8,97.23,91,2
175,2024,Second,29,50.29,156,3
176,2021,Second,14,15.69,385,3
177,2020,First,3,19.34,85,3
178,2024,Second,20,49.96,143,3
179,2022,Second,30,80.14,91,3
180,2020,Second,5,63.99,45,2
181,2024,First,2,55.42,29,2
182,2021,Second,4,6.47,165,1
183,2021,First,26,47.37,399,3
184,2022,Second,23,23.08,101,1
185,2023,Second,14,99.68,79,2
186,2021,Third,19,68.5,177,2
187,2023,Second,15,30.47,369,2
188,2021,First,3,14.79,64,3
189,2021,Second,7,39.3,160,3
190,2024,Second,4,36.12,119,2
191,2024,First,4,44.68,389,3
192,2023,First,10,24.9,305,2
193,2024,Third,10,33.3,232,3
194,2023,Second,28,69.55,397,1
195,2024,First,25,43.29,137,2
196,2023,Second,16,97.22,226,3
197,2020,Second,15,65.47,340,2
198,2023,Third,29,3.55,187,2
199,2023,Second,2,81.19,112,1
200,2021,First,1,74.33,11,3
201,2021,Second,2,30.46,254,2
202,2023,First,5,20.28,362,3
203,2024,Third,4,99.23,126,2
204,2022,Third,18,98.96,83,1
205,2021,Third,17,58.42,333,1
206,2023,Second,25,21.97,171,1
207,2020,First,25,55.08,104,2
208,2021,First,30,59.93,169,2
209,2024,Third,7,40.36,4,3
210,2022,First,25,15.1,222,2
211,2023,Second,7,4.55,75,1
212,2024,First,4,30.78,65,2
213,2021,Second,17,85.72,88,3
214,2021,Second,28,25.27,6,1
215,2022,First,29,66.73,378,2
216,2020,Second,2,26.02,176,3
217,2022,Second,14,33.35,330,2
218,2022,Third,16,89.4,21,3
219,2020,First,26,7.74,388,1
220,2020,Third,1,42.22,111,3
221,2023,Second,22,26.13,225,3
222,2023,Third,5,67.03,148,2
223,2022,First,17,59.22,79,2
224,2023,Third,4,53.66,114,3
225,2020,Third,10,96.47,381,2
226,2021,Second,5,58.68,256,1
227,2022,Third,15,82.14,355,3
228,2024,Third,1,62.13,7,2
229,2022,Second,30,88.1,242,3
230,2020,Second,10,4.78,350,3
231,2021,First,18,95.53,6,2
232,2022,Third,14,99.71,155,1
233,2023,Second,13,7.47,337,3
234,2021,Third,28,42.8,19,2
235,2022,Second,4,72.94,236,1
236,2024,Second,28,23.61,7,2
237,2022,First,18,87.19,285,1
238,2021,Third,3,99.76,130,2
239,2024,Third,19,18.76,135,2
240,2023,Third,7,91.07,399,2
241,2021,Third,6,3.69,152,1
242,2021,First,3,7.92,349,3
243,2020,Second,23,2.4,199,2
244,2023,Third,25,43.99,66,2
245,2023,First,4,69.67,178,2
246,2024,First,30,5.19,265,2
247,2020,Third,10,57.73,188,3
248,2022,Third,8,45.32,333,1
249,2021,Second,9,2.12,135,2
250,2020,First,7,71.16,381,2
251,2022,First,12,46.02,79,3
252,2022,First,16,86.5,227,2
253,2024,Third,4,7.66,250,1
254,2021,First,18,67.44,310,3
255,2024,Third,29,99.28,209,3
256,2021,First,10,28.27,388,3
257,2022,First,23,76.55,96,3
258,2022,Second,16,78.95,307,3
259,2020,Second,29,5.48,9,1
260,2021,First,28,14.03,102,3
261,2020,Second,18,41.56,379,1
262,2020,Second,2,58.47,376,3
263,2021,Second,12,35.07,112,2
264,2021,First,22,71.54,191,3
265,2021,Third,25,35.13,379,1
266,2023,Third,22,74.52,306,1
267,2023,First,3,85.83,234,2
268,2022,Third,26,2.3,83,3
269,2022,First,4,23.33,157,3
270,2023,First,11,69.47,175,2
271,2023,First,12,28.6,66,2
272,2020,Third,26,24.23,271,2
273,2022,Second,10,94.31,82,1
274,2023,Third,21,46.67,38,2
275,2023,First,29,41.69,190,1
276,2020,Second,4,74.12,131,2
277,2020,Second,11,10.68,369,2
278,2023,Second,21,76.84,160,1
279,2021,First,8,84.42,248,1
280,2021,Third,12,38.31,39,1
281,2020,First,22,14.27,25,2
282,2023,Third,29,13.63,285,3
283,2022,Second,29,33.06,393,3
284,2020,First,3,12.84,399,2
285,2022,Second,9,50.42,269,2
286,2023,First,25,3.04,272,2
287,2022,First,1,58.66,335,3
288,2021,First,16,89.72,108,3
289,2023,Second,20,0.45,242,3
290,2020,Second,20,4.48,70,2
291,2020,Second,29,7.43,388,3
292,2020,Second,29,83.31,213,2
293,2023,Third,22,55.83,146,2
294,2020,First,15,43.21,38,1
295,2021,Second,30,71.54,371,2
296,2020,First,24,82.18,320,3
297,2022,Third,7,57.88,258,2
298,2024,Third,1,98.58,352,3
299,2021,First,6,7.41,238,2
300,2023,Second,5,10.62,290,2
301,2023,Second,7,67.2,245,2
302,2022,Third,7,36.13,212,2
303,2020,Third,4,57.86,293,1
304,2021,First,19,69.51,128,2
305,2024,Third,14,57.74,381,1
306,2021,Third,25,9.07,43,1
307,2020,First,22,34.52,210,3
308,2020,First,1,55.59,369,2
309,2024,Second,1,57.71,350,1
310,2024,First,23,83.86,59,1
311,2023,First,7,7.34,276,1
312,2020,First,1,50.54,277,2
313,2021,Third,28,43.75,121,2
314,2023,Third,18,38.26,198,3
315,2023,Third,17,25.18,287,1
316,2020,Second,19,36.76,343,1
317,2024,Second,3,49.7,336,2
318,2020,Third,9,50.35,341,2
319,2022,First,21,15.55,139,2
320,2023,Third,26,61.32,142,1
321,2024,First,16,27.91,344,1
322,2020,First,18,57.22,173,2
323,2022,Second,19,40.64,58,2
324,2023,First,5,48.16,93,3
325,2023,Second,10,59.07,56,1
326,2024,Second,15,14.87,207,1
327,2021,First,26,1.57,219,2
328,2021,Third,21,49.21,22,3
329,2024,Second,15,2.98,281,2
330,2021,Second,17,51.29,1,2
331,2020,First,26,60.45,233,1
332,2024,Second,1,84.18,285,2
333,2023,Third,20,18.1,232,3
334,2024,First,26,1.74,339,1
335,2021,Third,28,92.26,265,1
336,2020,Second,11,1.02,245,2
337,2022,First,21,53.83,147,3
338,2020,First,6,80.78,185,1
339,2021,First,2,51.86,261,2
340,2023,First,23,16.79,142,2
341,2021,First,10,95.96,83,1
342,2023,Second,5,16.66,360,3
343,2022,First,21,98.06,197,2
344,2022,Second,10,74.12,400,1
345,2020,First,21,57.95,34,1
346,2023,First,9,56.13,194,2
347,2024,Third,10,80.72,236,2
348,2020,Second,5,19.08,129,1
349,2024,Second,9,60.88,216,2
350,2020,Second,8,62.89,399,2
351,2024,Second,2,0.35,11,3
352,2022,Second,27,25.66,152,2
353,2020,Second,18,92.0,117,3
354,2021,First,19,70.73,49,2
355,2022,Third,7,72.44,287,3
356,2024,Third,29,28.36,43,1
357,2024,Third,8,47.18,176,1
358,2023,Third,22,95.69,342,2
359,2023,Second,21,76.45,60,2
360,2021,Second,16,48.09,217,3
361,2023,Third,13,23.9,29,3
362,2021,Third,18,77.25,343,3
363,2020,First,4,21.89,85,3
364,2020,Third,9,12.24,24,3
365,2021,Second,25,16.77,234,1
366,2020,Third,23,72.31,181,3
367,2024,First,5,45.88,301,3
368,2020,Second,13,28.08,84,2
369,2023,Second,22,38.82,232,3
370,2022,First,29,69.38,51,1
371,2021,First,19,44.45,74,1
372,2022,Second,24,72.65,255,3
373,2024,Third,6,6.03,30,3
374,2021,Second,19,26.96,51,2
375,2024,Third,10,98.86,43,1
376,2024,First,13,79.37,154,3
377,2020,First,20,61.49,67,1
378,2023,Third,30,20.87,93,1
379,2023,First,4,45.92,88,2
380,2020,Third,19,67.65,8,1
381,2021,Third,5,59.06,336,1
382,2022,Third,14,44.85,73,3
383,2023,First,22,43.78,346,2
384,2021,Third,1,60.11,120,2
385,2022,Third,14,45.36,352,2
386,2020,Third,23,96.24,25,3
387,2021,First,6,67.66,136,3
388,2024,Second,5,1.02,350,3
389,2022,First,20,82.57,151,2
390,2022,First,30,73.27,244,1
391,2020,Second,24,97.43,378,2
392,2024,Second,30,70.7,316,2
393,2022,First,7,88.07,25,2
394,2020,Second,7,52.24,220,2
395,2021,Second,6,4.03,367,2
396,2021,First,27,69.74,320,2
397,2022,Second,26,12.49,188,2
398,2022,First,14,36.79,70,3
399,2024,First,24,41.04,190,1
400,2020,Third,3,20.2,358,3
