RecordID,Year,Term,Position,TotalScore,StudentID,ClassID
68,2020,First,21,7.24,332,2
69,2024,Second,24,42.28,176,3
70,2024,Second,19,97.38,47,1
71,2021,Third,22,87.33,222,1
72,2024,First,23,64.9,163,3
73,2022,First,30,69.75,88,3
74,2021,Third,15,30.62,241,2
75,2023,First,6,89.38,142,3
76,2023,Third,1,35.44,145,3
77,2024,Second,29,87.98,111,3
78,2021,Second,16,74.72,180,3
79,2022,Second,26,76.28,364,1
80,2020,Third,8,88.95,376,3
81,2022,Second,6,68.41,385,3
82,2022,Third,7,93.41,348,3
83,2020,First,15,1.78,27,3
84,2021,Second,11,90.47,48,1
85,2020,First,30,34.72,347,1
86,2023,First,12,48.91,137,1
87,2023,Second,9,58.21,281,3
88,2024,First,13,48.18,236,2
89,2024,First,21,54.43,92,1
90,2024,Second,18,27.79,140,2
91,2022,First,13,45.56,362,3
92,2024,First,3,6.37,34,2
93,2024,First,25,17.18,103,3
94,2022,Third,26,20.1,382,3
95,2024,First,25,29.56,17,3
96,2021,First,26,67.32,256,2
97,2023,First,16,76.38,176,2
98,2021,First,2,37.99,195,3
99,2024,Third,13,76.98,31,2
100,2020,First,6,70.33,55,3
101,2023,Second,29,78.08,345,3
102,2022,Third,14,57.57,37,3
103,2021,Third,25,17.96,263,3
104,2022,Third,8,82.85,150,2
105,2024,First,29,99.52,89,3
106,2022,Third,4,1.11,322,2
107,2024,Third,6,68.69,330,3
108,2021,Second,5,39.23,284,2
109,2021,Second,4,14.59,376,2
110,2020,Third,8,21.05,58,1
111,2021,Second,6,81.99,385,2
112,2021,First,7,75.92,143,3
113,2024,First,24,21.44,99,2
114,2024,First,16,30.34,143,2
115,2024,First,8,94.57,79,3
116,2021,First,27,43.44,16,3
117,2021,Second,19,92.34,37,3
118,2021,Third,16,82.22,25,3
119,2021,Third,6,74.39,284,3
120,2020,Second,4,69.76,95,1
121,2023,Second,19,71.56,23,1
122,2022,Third,21,12.2,366,2
123,2022,First,8,22.39,1,3
124,2022,First,1,28.57,68,3
125,2020,Third,2,78.92,132,1
126,2020,First,14,94.67,182,3
127,2020,Third,2,21.12,205,3
128,2023,Third,4,45.66,73,2
129,2023,Third,22,31.82,273,3
130,2024,First,10,8.6,126,3
131,2023,Third,29,59.65,297,3
132,2020,Third,13,29.27,239,3
133,2024,Third,28,75.24,393,2
134,2022,First,18,85.0,327,2
135,2020,Third,17,1.16,137,3
136,2022,Third,15,20.6,119,3
137,2023,Second,11,4.27,39,3
138,2023,Third,18,75.43,335,3
139,2022,Third,15,33.56,303,3
140,2020,Second,20,18.71,237,2
141,2022,Third,11,61.23,145,3
142,2022,First,3,20.14,216,3
143,2024,First,21,57.03,65,3
144,2020,Second,14,48.68,155,1
145,2020,Second,10,1.19,251,2
146,2022,Second,18,64.4,75,2
147,2023,Third,6,32.51,32,3
148,2021,Third,1,98.02,107,2
149,2024,First,24,58.19,37,2
150,2020,Third,3,74.59,94,2
151,2024,Third,4,6.86,321,2
152,2022,First,12,97.03,289,1
153,2023,Second,3,31.74,312,1
154,2023,Third,15,73.78,160,3
155,2023,Third,22,81.03,13,3
156,2021,Third,5,0.44,69,3
157,2023,Second,14,46.73,11,2
158,2022,Second,24,67.31,282,2
159,2022,First,12,85.49,300,1
160,2024,First,9,26.35,227,2
161,2022,Second,8,17.05,377,2
162,2022,Second,8,89.46,134,2
163,2021,Third,25,96.58,47,1
164,2023,Third,18,14.6,377,2
165,2024,Third,11,94.32,110,3
166,2021,First,11,38.41,327,3
167,2020,First,5,21.57,347,2
168,2021,Third,17,87.37,146,3
169,2021,Third,28,28.09,304,2
170,2022,Third,29,47.14,205,1
171,2022,Third,22,77.12,183,3
172,2022,First,25,69.57,243,2
173,2024,Second,10,3.22,37,3
174,2023,Third,1,84.65,12,3
175,2022,Second,28,92.99,98,3
176,2020,First,1,29.02,239,3
177,2022,Third,26,90.06,201,2
178,2023,Third,11,97.52,295,3
179,2021,Third,3,63.3,339,1
180,2020,Third,11,75.63,94,2
181,2023,Third,2,55.93,219,2
182,2023,Second,29,83.08,114,3
183,2020,Third,27,43.68,379,2
184,2022,Second,14,95.24,147,2
185,2024,First,22,96.69,67,3
186,2023,Third,14,64.18,251,3
187,2023,Third,24,24.48,253,2
188,2023,Third,12,49.22,345,3
189,2022,First,23,21.53,83,2
190,2020,First,23,74.41,16,3
191,2022,First,2,52.99,131,3
192,2023,Third,25,22.82,302,2
193,2021,First,10,97.76,232,3
194,2021,First,11,47.98,39,2
195,2023,Second,5,31.31,391,2
196,2023,First,7,28.62,308,3
197,2023,First,12,17.52,71,3
198,2024,First,5,59.53,323,3
199,2022,First,14,44.41,111,2
200,2024,Second,21,8.66,28,1
201,2022,First,4,65.79,342,1
202,2023,Second,9,3.62,172,1
203,2023,Third,6,27.94,124,2
204,2023,First,19,15.96,260,1
205,2023,First,1,62.23,271,2
206,2024,Third,2,6.14,241,1
207,2022,Second,27,23.87,180,3
208,2024,Second,27,6.96,163,2
209,2022,Third,27,94.3,20,3
210,2023,Second,19,21.94,166,2
211,2024,Second,17,57.03,397,3
212,2021,Third,20,40.89,399,2
213,2021,Second,16,3.92,160,3
214,2022,First,18,37.41,140,3
215,2020,First,11,80.86,229,2
216,2024,Third,18,91.27,288,3
217,2021,Third,24,1.36,356,2
218,2020,Third,4,36.47,243,2
219,2021,Third,12,54.17,159,3
220,2024,Third,27,76.68,134,1
221,2022,First,14,6.33,338,3
222,2021,Second,24,48.6,283,2
223,2024,First,22,1.68,248,3
224,2020,Third,18,21.15,338,2
225,2022,First,22,91.52,335,3
226,2024,Third,7,57.2,370,3
227,2022,Third,10,25.48,185,2
228,2020,First,27,97.18,334,3
229,2022,Third,5,39.93,267,2
230,2021,First,12,99.5,65,3
231,2022,Second,27,99.13,183,1
232,2024,Third,18,39.83,322,1
233,2023,Third,24,74.69,185,3
234,2024,Third,4,36.18,257,1
235,2022,First,10,93.95,321,3
236,2021,Third,5,24.54,243,3
237,2023,First,24,16.49,110,2
238,2020,Third,28,54.36,239,3
239,2023,First,22,88.12,229,3
240,2023,First,19,83.11,398,2
241,2022,Second,6,67.9,224,3
242,2022,Second,17,67.06,305,3
243,2023,Third,18,19.62,103,1
244,2024,First,9,80.26,227,3
245,2021,Second,26,41.65,49,1
246,2024,First,25,85.45,313,1
247,2022,Third,28,99.4,310,2
248,2021,Third,15,26.38,268,3
249,2021,Third,22,15.03,311,1
250,2023,Third,4,81.2,81,2
251,2022,Second,26,73.84,197,3
252,2020,Third,12,64.21,54,3
253,2022,Second,14,87.73,389,2
254,2024,First,22,77.45,94,1
255,2020,First,2,30.18,185,1
256,2023,First,12,72.36,14,2
257,2020,Third,30,94.42,314,1
258,2020,First,4,97.67,155,3
259,2021,Third,24,45.86,93,2
260,2021,Third,3,39.34,271,3
261,2020,Second,7,24.47,352,3
262,2021,Third,28,55.61,282,1
263,2021,First,26,19.19,81,2
264,2023,Third,21,35.18,81,2
265,2023,First,20,37.29,212,3
266,2023,Third,17,45.76,1,3
267,2021,Third,19,13.99,231,2
268,2021,Second,7,86.56,117,3
269,2021,Second,8,6.43,306,1
270,2021,First,30,16.83,141,1
271,2023,Third,9,56.57,32,2
272,2023,Second,11,70.74,220,3
273,2023,First,12,85.58,286,2
274,2022,Second,2,24.28,391,3
275,2023,Third,13,9.28,81,2
276,2020,First,17,68.09,309,1
277,2021,Third,30,87.17,32,2
278,2021,Third,22,28.64,327,1
279,2024,Third,7,4.74,7,2
280,2023,Third,2,36.38,196,2
281,2022,Second,20,65.27,161,2
282,2020,Second,15,10.43,156,2
283,2020,Third,6,1.58,162,3
284,2021,Third,1,63.86,45,2
285,2023,Third,21,2.97,288,2
286,2022,Second,15,83.07,151,2
287,2024,First,21,22.92,286,1
288,2020,Second,25,47.2,247,2
289,2021,Second,18,74.9,168,2
290,2022,Second,27,87.16,158,2
291,2024,Second,23,79.63,304,2
292,2020,Second,1,24.6,171,1
293,2020,First,26,38.92,122,2
294,2022,First,18,83.36,180,1
295,2022,First,11,76.14,385,1
296,2020,Third,5,22.44,277,2
297,2024,Second,3,85.89,125,2
298,2024,First,19,15.27,217,3
299,2021,Second,10,8.9,58,2
300,2022,Third,22,31.39,287,2
301,2020,Second,17,79.49,29,1
302,2023,Second,13,56.76,270,3
303,2024,Second,26,0.32,267,2
304,2022,Second,3,51.67,358,2
305,2021,Third,12,5.62,286,3
306,2024,Third,19,16.91,56,3
307,2020,Third,23,95.74,228,2
308,2020,Third,12,96.17,398,2
309,2024,First,18,65.88,101,2
310,2022,First,17,98.36,394,2
311,2021,Third,27,62.15,70,3
312,2024,Second,9,36.16,212,3
313,2024,First,29,1.28,351,1
314,2024,Second,15,28.96,186,3
315,2022,Second,7,80.76,88,2
316,2021,Second,18,3.13,214,3
317,2023,Third,25,46.5,350,3
318,2020,First,6,45.92,233,2
319,2024,Second,3,16.05,244,2
320,2024,First,26,53.69,110,3
321,2020,Second,10,98.83,97,1
322,2023,First,6,65.63,381,3
323,2022,Second,20,32.35,42,3
324,2021,Second,22,0.43,98,3
325,2020,Third,30,40.51,175,1
326,2024,First,14,45.57,227,2
327,2020,Second,17,62.17,180,1
328,2023,Second,8,46.9,303,1
329,2024,First,27,7.7,215,1
330,2021,Second,12,36.24,321,2
331,2024,First,22,91.83,229,3
332,2021,Second,7,8.08,242,2
333,2020,Third,4,68.68,292,2
334,2023,Second,19,19.13,286,3
335,2020,Second,27,74.96,232,1
336,2020,Second,17,39.14,396,3
337,2024,Second,3,85.13,327,3
338,2023,Second,12,28.7,94,2
339,2020,First,14,35.74,370,3
340,2021,First,2,75.11,187,3
341,2020,Third,2,98.55,45,2
342,2022,Second,3,13.41,139,3
343,2022,Second,28,69.77,367,1
344,2020,First,1,51.48,297,3
345,2022,Second,24,66.85,277,2
346,2023,Second,15,37.36,192,3
347,2022,First,22,76.35,23,2
348,2020,Second,17,55.31,321,2
349,2021,Third,29,37.39,247,3
350,2023,Third,11,65.14,131,2
351,2022,Third,19,62.66,101,2
352,2021,First,17,58.56,326,2
353,2024,Third,20,69.79,44,1
354,2021,First,28,3.06,214,2
355,2022,Second,13,29.77,57,2
356,2021,Second,29,19.56,29,2
357,2023,First,21,34.82,162,1
358,2022,Third,16,87.3,230,1
359,2020,First,19,29.91,207,2
360,2022,First,27,13.4,19,3
361,2022,Second,4,45.04,159,3
362,2020,Third,18,35.62,327,1
363,2021,Second,17,77.49,202,1
364,2022,Third,23,96.48,400,3
365,2024,First,18,58.0,374,3
366,2024,Third,4,62.82,100,3
367,2024,Third,29,30.55,311,3
368,2020,First,5,6.05,36,1
369,2022,Second,10,61.81,75,3
370,2022,Second,8,94.19,291,1
371,2020,First,14,83.39,21,2
372,2024,First,4,85.61,291,3
373,2024,Third,11,94.98,335,1
374,2021,Second,12,3.26,151,2
375,2023,Third,4,5.23,396,1
376,2022,Third,12,86.71,142,2
377,2023,Second,9,75.6,5,2
378,2020,First,3,44.73,21,1
379,2021,Second,21,39.48,5,3
380,2024,Third,20,42.83,331,1
381,2024,First,21,66.67,69,2
382,2021,Second,12,30.97,302,3
383,2020,Second,29,55.14,338,2
384,2022,First,15,86.57,349,1
385,2021,Second,8,94.42,128,2
386,2022,Second,7,36.92,192,3
387,2024,Third,27,32.15,182,3
388,2021,First,15,15.34,233,2
389,2020,Third,7,62.42,58,3
390,2023,First,26,96.48,235,3
391,2020,Third,29,90.29,323,2
392,2022,First,26,41.26,66,2
393,2022,First,21,70.09,345,3
394,2023,Second,5,71.31,256,2
395,2020,Second,6,19.45,181,2
396,2024,First,20,66.05,122,3
397,2021,Third,17,26.23,97,2
398,2023,Third,20,5.54,276,3
399,2023,Second,6,56.04,133,2
400,2020,Second,27,49.38,23,2
