PerformanceID,StudentID,SubjectID,ClassID,Year,Term,Score
240,295,16,1,2021,First,58.75
241,335,11,3,2021,First,57.25
242,292,15,1,2024,First,23.17
243,142,12,1,2021,First,83.04
244,207,13,1,2021,Second,92.26
245,314,9,1,2024,Second,37.9
246,316,3,1,2024,Second,41.2
247,310,3,2,2022,Second,16.32
248,224,8,3,2020,First,12.56
249,104,2,3,2021,Second,45.75
250,381,10,1,2021,Third,90.64
251,61,13,2,2023,First,21.78
252,256,4,3,2021,Third,96.53
253,147,6,3,2021,Third,1.59
254,54,7,1,2022,Third,8.54
255,358,14,3,2022,Third,47.05
256,243,15,1,2023,Second,21.25
257,272,12,3,2021,First,21.24
258,186,8,1,2022,First,89.26
259,267,11,2,2020,First,94.16
260,133,12,3,2020,Third,80.43
261,111,7,2,2022,Third,85.32
262,240,8,2,2024,Second,48.78
263,41,16,2,2021,Third,5.85
264,280,5,2,2024,First,33.33
265,386,1,3,2024,First,85.73
266,389,14,1,2022,First,8.21
267,257,15,2,2021,First,75.41
268,24,10,2,2024,Third,81.42
269,205,13,1,2022,Third,29.58
270,306,8,3,2023,First,61.07
271,294,3,2,2020,Third,36.81
272,29,5,3,2024,Second,69.24
273,328,15,3,2023,Third,73.63
274,147,1,3,2024,First,94.44
275,294,12,2,2023,Third,14.17
276,16,13,3,2024,Third,56.61
277,177,7,3,2023,Third,37.48
278,242,3,2,2022,Third,32.78
279,303,4,2,2022,Second,7.22
280,231,15,2,2021,Second,64.44
281,389,6,2,2023,First,95.45
282,2,11,3,2022,First,34.55
283,181,5,3,2021,First,99.73
284,149,9,1,2023,Third,60.08
285,77,14,3,2022,First,80.15
286,9,4,1,2022,First,83.12
287,110,3,2,2020,Third,80.89
288,87,8,3,2021,Third,15.24
289,26,2,2,2021,Second,85.46
290,41,7,1,2023,Second,85.63
291,100,11,1,2020,First,47.0
292,158,14,3,2023,First,68.41
293,227,11,2,2021,Second,30.14
294,202,5,2,2020,Second,65.91
295,309,6,3,2023,Second,88.4
296,129,16,2,2022,Third,71.57
297,27,6,3,2021,First,21.03
298,221,11,2,2021,First,67.34
299,397,2,1,2023,First,42.76
300,52,2,1,2022,First,93.18
301,250,10,1,2022,Second,30.64
302,199,2,3,2021,Third,32.92
303,392,11,3,2024,Second,8.4
304,263,5,3,2024,Second,37.3
305,301,7,1,2023,First,79.66
306,219,8,2,2022,Second,12.94
307,276,6,1,2024,Second,93.96
308,63,9,2,2020,First,4.79
309,267,16,2,2020,First,10.18
310,308,14,3,2024,First,72.79
311,340,10,2,2022,Third,62.2
312,341,8,1,2023,Second,76.77
313,355,13,2,2024,Second,46.29
314,213,6,1,2024,Third,89.82
315,227,6,2,2020,First,35.42
316,338,11,3,2022,Third,23.24
317,299,4,2,2021,Third,96.41
318,241,13,2,2024,Third,18.54
319,288,8,2,2024,First,80.35
320,241,2,1,2023,First,68.7
321,5,2,2,2023,First,74.62
322,375,14,2,2021,Third,10.72
323,42,7,2,2023,Second,4.23
324,160,13,1,2024,Second,86.52
325,113,8,1,2023,Third,11.41
326,334,6,3,2021,Third,74.71
327,62,4,1,2024,First,72.24
328,51,7,2,2021,Third,47.68
329,312,4,1,2023,First,84.78
330,238,8,3,2022,Third,72.05
331,115,16,3,2022,Second,42.55
332,310,1,2,2024,First,22.03
333,197,14,3,2020,First,12.03
334,273,15,3,2022,Third,56.97
335,300,3,3,2020,First,25.78
336,38,13,1,2021,First,17.42
337,65,11,3,2022,First,91.65
338,350,10,1,2020,First,69.13
339,120,3,2,2024,Third,92.46
340,43,4,2,2021,First,5.42
341,219,12,1,2020,Third,18.2
342,317,4,3,2022,First,17.08
343,58,11,3,2022,First,75.36
344,153,6,1,2022,Third,46.18
345,135,3,1,2021,First,49.99
346,84,4,1,2022,Third,79.31
347,382,14,3,2021,Second,11.36
348,23,14,3,2020,Second,44.77
349,123,3,3,2022,First,26.8
350,107,5,1,2020,Second,50.92
351,332,8,2,2024,Third,32.19
352,380,1,3,2021,Second,97.14
353,143,7,2,2020,Third,88.37
354,65,16,2,2022,Second,81.87
355,11,2,2,2021,Third,39.09
356,276,7,2,2023,First,0.37
357,304,16,3,2024,First,46.08
358,66,14,3,2022,Third,83.02
359,159,9,2,2022,Third,47.6
360,85,11,3,2023,First,32.71
361,28,2,1,2022,Second,22.38
362,166,6,3,2023,Third,44.53
363,365,9,2,2024,Third,1.03
364,325,1,3,2023,First,67.95
365,148,7,1,2022,Second,71.07
366,337,1,3,2024,First,52.55
367,83,15,3,2022,Third,86.94
368,361,15,2,2023,Third,90.05
369,253,15,3,2021,First,90.21
370,291,14,3,2024,Third,29.27
371,18,8,1,2023,Second,84.92
372,232,3,2,2021,Third,56.12
373,391,3,3,2023,First,43.49
374,80,1,2,2024,Third,61.44
375,280,5,1,2022,First,56.27
376,297,9,1,2021,Third,41.8
377,79,2,3,2020,Second,37.57
378,280,16,1,2022,Second,76.32
379,56,2,2,2022,First,55.28
380,107,15,3,2024,First,17.57
381,110,8,1,2023,Second,30.94
382,23,3,3,2020,Second,52.81
383,147,3,3,2021,Second,41.37
384,93,9,3,2022,Third,69.68
385,36,2,1,2021,First,36.87
386,80,8,3,2020,Second,6.39
387,99,12,2,2022,First,3.12
388,324,11,2,2023,Third,60.39
389,277,15,2,2021,Third,64.38
390,171,4,3,2021,Second,88.8
391,188,14,2,2020,Third,91.12
392,148,10,3,2023,Second,23.13
393,48,2,3,2020,First,31.09
394,219,14,1,2023,First,58.99
395,371,16,2,2022,Second,69.2
396,396,4,3,2020,Third,74.61
397,327,9,3,2024,Second,96.88
398,129,12,1,2020,First,46.58
399,263,1,2,2023,First,98.83
400,300,12,3,2022,Third,32.45
401,50,14,3,2021,Second,63.5
402,32,7,3,2020,First,75.93
403,336,10,2,2021,Third,9.09
404,166,16,2,2023,First,55.33
405,349,10,1,2023,Third,43.99
406,282,6,3,2022,Third,51.29
407,224,14,1,2023,Third,27.26
408,82,15,1,2022,First,64.64
409,259,6,2,2021,Third,44.16
410,69,9,2,2024,Second,82.3
411,316,13,3,2022,First,73.82
412,220,4,3,2022,Third,73.01
413,360,7,2,2020,Third,87.06
414,196,2,1,2020,First,60.27
415,91,7,1,2022,First,79.49
416,330,12,2,2022,First,52.51
417,221,15,1,2022,Third,93.68
418,124,16,2,2022,First,6.63
419,255,13,1,2024,Second,65.05
420,86,13,3,2024,First,65.18
421,345,1,3,2020,First,50.9
422,350,3,3,2022,First,22.66
423,9,2,3,2024,Second,69.98
424,87,11,3,2020,First,79.72
425,55,15,2,2023,Second,7.79
426,155,9,2,2022,First,43.58
427,346,4,2,2020,Second,33.48
428,34,2,2,2023,First,93.57
429,342,13,3,2024,Second,48.3
430,297,9,3,2023,First,47.92
431,261,4,2,2021,Second,61.57
432,346,2,3,2022,Second,20.66
433,195,5,2,2024,Third,63.28
434,213,12,2,2022,First,99.3
435,397,1,1,2020,Second,90.05
436,324,12,1,2023,First,16.26
437,281,1,1,2020,Third,19.0
438,230,6,3,2023,First,25.08
439,388,3,2,2020,Second,3.95
440,190,10,2,2021,First,79.54
441,106,3,3,2024,First,6.36
442,161,13,2,2024,Second,20.53
443,50,10,1,2020,First,49.13
444,186,9,2,2021,First,6.89
445,382,3,2,2021,Second,48.98
446,27,10,3,2022,Second,99.9
447,396,9,3,2022,Second,22.07
448,206,6,3,2021,Third,69.58
449,148,11,3,2023,First,28.88
450,137,13,3,2020,Second,0.38
451,121,7,1,2020,Third,94.0
452,59,5,3,2022,Second,26.65
453,191,3,3,2024,Third,45.95
454,56,10,1,2022,Second,60.75
455,310,3,2,2024,Third,36.15
456,27,14,3,2021,Third,7.21
457,190,4,1,2020,Third,49.74
458,155,14,1,2020,Third,30.76
459,16,9,1,2023,Second,35.56
460,236,4,1,2024,Second,2.61
461,322,1,2,2023,Second,45.56
462,360,6,3,2022,Third,83.31
463,210,11,2,2022,Third,15.16
464,158,15,3,2023,Second,42.15
465,94,4,1,2023,First,32.28
466,198,16,3,2020,Third,88.65
467,370,5,1,2020,First,99.6
468,1,15,3,2022,First,24.09
469,13,3,3,2020,Third,42.47
470,165,5,2,2022,Second,65.02
471,352,4,1,2022,Third,76.72
472,315,12,3,2024,Second,51.99
473,163,15,3,2021,First,22.81
474,149,2,2,2023,First,48.13
475,16,11,2,2021,First,21.33
476,129,4,2,2020,First,88.1
477,203,10,2,2023,Second,76.09
478,123,7,3,2024,Third,92.43
479,146,6,2,2021,Third,65.9
480,217,9,3,2024,Second,73.48
481,400,13,2,2021,Second,17.97
482,232,12,3,2024,Third,42.63
483,148,13,2,2023,First,40.63
484,3,3,1,2023,Third,44.75
485,117,8,1,2022,Second,95.71
486,204,5,3,2021,Second,83.31
487,352,11,1,2021,Third,32.36
488,193,4,1,2024,Second,61.92
489,163,13,3,2020,Second,75.12
490,33,5,1,2024,First,60.34
491,134,5,3,2020,First,66.61
492,238,6,3,2024,First,76.51
493,225,7,2,2023,Third,56.9
494,74,7,3,2023,Second,29.68
495,328,5,2,2023,Second,25.1
496,392,2,3,2024,Third,62.28
497,319,12,1,2021,Second,78.13
498,35,6,2,2020,Second,93.79
499,299,7,3,2024,Second,26.3
500,26,7,3,2024,Second,33.72
501,312,14,2,2020,Third,73.02
502,287,8,2,2020,First,71.59
503,376,15,3,2020,Third,42.38
504,305,5,2,2024,Second,43.67
505,124,1,1,2024,Second,70.67
506,231,9,3,2020,First,86.79
507,45,11,3,2020,Second,43.94
508,368,3,3,2023,Third,53.31
509,384,5,1,2022,Second,96.32
510,259,3,3,2021,Second,43.95
511,358,11,1,2023,First,13.91
512,153,12,1,2020,Third,18.27
513,189,12,1,2020,Second,87.06
514,389,16,3,2022,First,25.43
515,389,2,3,2023,Second,55.31
516,9,8,3,2020,Second,29.33
517,334,15,1,2023,Second,70.3
518,389,7,3,2020,First,88.23
519,336,10,2,2023,Second,74.23
520,316,5,2,2022,First,66.99
521,154,10,2,2022,Second,58.71
522,225,14,2,2022,First,71.47
523,54,10,2,2020,Second,18.53
524,138,11,2,2023,Second,70.69
525,320,7,3,2020,Third,6.76
526,332,2,1,2020,Second,60.27
527,334,2,3,2021,Third,92.29
528,378,3,3,2021,First,32.19
529,166,15,1,2022,Third,32.69
530,38,12,3,2021,Third,70.36
531,289,2,2,2020,First,98.31
532,55,14,2,2020,Third,20.96
533,369,13,2,2021,Second,28.52
534,395,16,2,2020,First,20.87
535,66,3,1,2020,Third,0.31
536,259,2,1,2021,First,38.0
537,208,15,3,2021,First,37.37
538,58,6,3,2024,First,53.28
539,281,9,3,2020,Second,55.71
540,300,6,3,2020,Second,31.71
541,220,7,3,2021,Third,90.21
542,95,1,3,2021,First,35.33
543,38,16,3,2024,Second,70.67
544,154,15,2,2020,First,75.04
545,68,12,2,2022,First,22.42
546,337,12,1,2023,Third,0.33
547,289,16,2,2022,First,55.11
548,93,15,1,2022,Second,77.43
549,299,13,3,2023,First,61.31
550,348,5,3,2024,First,79.91
551,274,1,3,2020,First,51.06
552,259,6,3,2021,Third,64.54
553,5,4,1,2021,First,31.52
554,180,11,3,2022,First,65.64
555,169,6,2,2023,Third,55.81
556,82,13,2,2021,Third,65.52
557,338,9,3,2023,First,79.61
558,300,3,2,2022,Third,1.23
559,244,3,2,2021,Second,75.87
560,237,8,1,2022,Second,7.49
561,388,15,2,2021,Third,85.3
562,194,14,3,2022,First,45.35
563,383,4,3,2020,Third,87.42
564,198,12,1,2020,Third,71.05
565,395,1,1,2024,Third,74.76
566,230,13,2,2024,Second,83.21
567,270,1,1,2021,Third,83.43
568,43,15,2,2021,First,35.13
569,201,13,2,2021,First,20.61
570,81,16,3,2021,Second,5.09
571,74,4,3,2024,Second,65.49
572,266,14,1,2022,Third,15.38
573,159,13,3,2023,Second,13.0
574,47,5,2,2021,First,36.89
575,46,11,3,2024,First,45.27
576,38,1,1,2023,First,79.74
577,142,15,3,2021,Third,24.02
578,253,8,3,2023,Second,3.28
579,293,15,2,2021,First,92.87
580,367,7,2,2021,Third,84.82
581,156,15,3,2021,Second,13.6
582,146,1,3,2022,Second,93.9
583,381,2,3,2020,Third,80.5
584,141,12,3,2021,First,76.27
585,127,2,3,2020,Third,78.95
586,399,9,1,2022,Second,87.94
587,266,5,1,2021,Second,89.63
588,398,16,3,2022,First,45.54
589,36,11,3,2021,Second,35.4
590,387,7,1,2021,Third,24.44
591,331,5,3,2023,First,6.14
592,10,14,1,2020,First,59.99
593,322,2,3,2020,Third,50.1
594,363,11,3,2024,First,41.65
595,64,6,2,2022,Second,12.71
596,109,10,2,2022,First,4.15
597,266,16,1,2022,Second,5.58
598,260,11,1,2023,First,51.37
599,137,14,2,2022,Third,93.75
600,350,14,3,2023,Third,10.2
601,22,14,2,2024,Second,54.44
602,209,4,3,2022,Second,35.16
603,313,3,1,2021,Second,89.76
604,132,13,3,2024,Third,35.54
605,336,10,3,2024,First,64.25
606,275,15,1,2020,First,16.11
607,381,12,1,2021,First,38.33
608,104,3,3,2020,Second,68.47
609,124,2,1,2022,Second,43.34
610,231,11,3,2022,Third,67.16
611,201,16,2,2023,First,99.67
612,199,8,2,2023,Second,83.84
613,311,15,2,2021,First,26.72
614,242,11,3,2021,Second,31.49
615,86,6,2,2021,Third,16.73
616,255,12,3,2023,First,77.56
617,247,10,1,2020,Second,61.61
618,172,7,3,2020,Third,14.13
619,35,6,1,2024,First,37.31
620,184,10,2,2023,Third,22.3
621,106,4,3,2024,First,42.47
622,326,15,1,2020,Third,0.5
623,260,7,3,2021,Third,93.52
624,374,7,2,2022,Second,17.47
625,382,1,2,2024,First,44.3
626,380,8,2,2023,First,22.67
627,20,7,2,2023,Second,25.89
628,372,3,1,2024,Second,27.14
629,282,10,1,2020,Third,36.71
630,273,6,2,2023,Second,53.5
631,322,2,3,2021,Third,81.76
632,17,8,3,2021,First,71.37
633,102,12,3,2021,Second,94.41
634,285,7,3,2022,Third,89.52
635,108,5,2,2020,Third,47.08
636,143,9,3,2024,Second,37.46
637,55,7,1,2023,First,33.45
638,156,4,3,2020,Third,34.67
639,2,9,3,2021,Third,22.4
640,329,7,2,2023,Second,3.19
641,228,10,3,2022,Third,75.34
642,35,2,1,2024,Second,60.09
643,363,16,1,2022,First,26.79
644,191,10,3,2024,Second,37.43
645,235,16,3,2023,Third,56.82
646,341,13,3,2020,Second,91.07
647,69,7,3,2022,Second,65.26
648,352,11,3,2022,Third,89.07
649,123,1,3,2020,First,34.38
650,292,10,3,2022,Second,12.47
651,51,1,3,2020,First,44.58
652,285,12,2,2024,Third,16.28
653,259,2,3,2022,Third,86.26
654,37,13,3,2022,Third,80.81
655,400,8,3,2024,Third,93.8
656,176,6,2,2021,Third,86.6
657,341,6,2,2024,Third,8.84
658,379,8,1,2022,Second,72.24
659,126,11,2,2023,Third,31.16
660,227,10,3,2020,First,15.82
661,49,2,3,2023,Second,39.91
662,47,14,2,2023,First,64.28
663,135,15,3,2023,Third,85.55
664,35,9,3,2022,First,29.34
665,216,15,3,2020,First,59.52
666,49,11,2,2021,Second,48.02
667,307,12,1,2020,First,27.46
668,18,6,1,2020,First,8.34
669,224,5,3,2020,Third,37.39
670,186,9,3,2024,Second,65.34
671,350,4,2,2022,First,22.87
672,299,3,3,2020,Third,94.39
673,135,5,3,2023,First,3.01
674,194,4,1,2021,Second,23.62
675,337,6,2,2020,Third,50.11
676,335,11,2,2021,First,55.5
677,154,14,2,2024,Second,78.58
678,107,7,2,2020,Second,52.2
679,24,13,3,2024,Third,75.69
680,49,13,2,2020,First,62.86
681,127,3,2,2022,Third,84.0
682,286,4,3,2023,Second,38.15
683,162,2,2,2021,Third,50.28
684,124,12,2,2023,Third,92.48
685,275,15,3,2020,First,34.58
686,288,2,2,2024,Second,74.01
687,340,14,1,2021,Second,72.35
688,223,9,2,2021,First,79.16
689,22,1,1,2022,Third,51.39
690,181,11,2,2024,First,16.45
691,49,16,2,2022,Second,25.77
692,297,1,2,2023,First,67.89
693,268,9,2,2023,Second,49.15
694,294,9,3,2024,First,86.82
695,298,2,2,2020,Second,96.03
696,242,11,3,2020,Third,41.57
697,340,16,3,2020,Third,79.59
698,111,9,3,2020,Third,89.52
699,278,8,3,2022,First,1.51
700,346,2,2,2020,Third,64.17
701,236,10,3,2023,First,44.97
702,71,7,3,2021,First,69.86
703,273,5,2,2022,Second,73.32
704,233,14,3,2023,First,40.43
705,137,15,3,2023,Second,3.94
706,152,12,3,2023,Third,59.87
707,159,8,1,2022,Second,38.84
708,296,14,3,2021,Second,61.37
709,72,12,1,2022,Third,57.68
710,394,7,1,2024,Second,19.89
711,252,3,3,2021,First,94.03
712,202,2,2,2020,Second,6.54
713,240,10,2,2020,First,73.26
714,310,14,2,2021,Third,5.36
715,291,6,3,2024,Second,51.86
716,53,13,2,2022,Second,95.4
717,161,10,2,2021,First,56.51
718,303,4,2,2022,First,29.59
719,262,11,3,2022,Third,6.19
720,64,15,3,2020,Second,0.9
721,139,13,1,2022,First,40.39
722,188,8,3,2021,Second,71.55
723,285,8,2,2024,First,6.88
724,295,9,1,2020,Third,65.65
725,338,12,3,2022,First,10.46
726,239,14,3,2022,Third,5.23
727,391,16,3,2020,Second,86.76
728,294,8,2,2021,First,8.69
729,102,3,3,2020,Third,98.6
730,127,5,3,2020,First,22.79
731,110,5,2,2023,First,72.48
732,157,3,1,2020,First,17.86
733,92,6,3,2024,Third,85.14
734,191,2,2,2023,Second,43.32
735,41,15,2,2023,Second,48.61
736,359,9,3,2024,Second,81.89
737,62,7,2,2022,Third,54.58
738,379,10,1,2023,Second,10.97
739,379,6,2,2023,First,6.77
740,385,3,3,2020,Third,2.17
741,347,16,1,2022,Third,48.44
742,328,11,2,2021,Third,61.06
743,94,3,1,2021,Second,78.84
744,355,12,1,2023,Second,92.32
745,138,6,3,2024,First,17.28
746,191,13,3,2021,Second,34.39
747,19,10,1,2020,Third,53.52
748,305,10,1,2022,First,12.19
749,208,1,3,2023,Third,73.62
750,346,12,1,2024,Third,12.16
751,339,6,3,2020,Third,78.88
752,238,13,2,2023,Second,42.12
753,170,2,1,2021,First,55.4
754,101,4,1,2022,Third,60.0
755,278,11,1,2022,Third,87.0
756,264,6,1,2020,Second,71.41
757,255,9,3,2021,Second,38.53
758,31,16,2,2021,First,71.9
759,84,11,3,2020,Third,35.59
760,333,8,3,2020,First,59.35
761,168,7,1,2021,Third,44.9
762,207,14,1,2020,Third,28.98
763,181,16,2,2024,Third,91.17
764,262,1,3,2021,First,47.19
765,84,5,2,2022,First,92.39
766,322,1,3,2020,First,96.49
767,333,7,2,2022,Third,8.18
768,81,13,3,2020,Third,35.46
769,229,5,1,2021,Second,92.24
770,2,13,1,2021,Third,80.9
771,115,14,3,2024,Second,98.95
772,23,6,3,2022,First,6.86
773,198,13,1,2024,Second,87.19
774,395,11,2,2021,Third,97.15
775,196,4,2,2022,Third,83.19
776,325,16,1,2020,First,88.94
777,197,15,2,2020,First,19.69
778,377,14,1,2023,Third,86.16
779,17,11,2,2024,First,72.72
780,28,4,3,2022,First,54.92
781,230,6,1,2024,Third,78.49
782,253,9,2,2021,First,82.38
783,22,11,2,2021,First,70.48
784,295,10,1,2022,Third,23.84
785,261,7,3,2022,Third,59.09
786,183,9,2,2023,Second,65.67
787,257,7,3,2021,First,34.37
788,15,13,2,2024,Third,1.96
789,113,3,2,2022,Second,92.04
